id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,trip_duration,pickup_neighborhood,dropoff_neighborhood
93,2,2016-01-01 00:18:00,2016-01-01 00:33:35,2,8.97,-73.8734283447,40.7740287781,-73.9563217163,40.7705383301,1,935.0,F,K
94,2,2016-01-01 00:18:13,2016-01-01 00:22:15,2,0.75,-73.9778137207,40.7769165039,-73.9775085449,40.784198761,1,242.0,AV,I
95,1,2016-01-01 00:18:17,2016-01-01 00:41:14,1,2.6,-73.9934539795,40.76222229,-73.9737701416,40.7488174438,2,1377.0,P,AD
96,2,2016-01-01 00:18:17,2016-01-01 00:24:46,3,1.85,-73.9926834106,40.7633781433,-73.9752426147,40.7843971252,2,389.0,P,I
97,1,2016-01-01 00:18:50,2016-01-01 00:41:20,1,9.0,-73.9797134399,40.7605514526,-73.9837646484,40.6804275513,1,1350.0,A,V
98,1,2016-01-01 00:19:16,2016-01-01 00:39:30,1,7.4,-74.0033798218,40.7080574036,-73.982421875,40.7779426575,1,1214.0,AU,AV
99,2,2016-01-01 00:19:19,2016-01-01 00:52:43,1,3.62,-73.9539413452,40.7748298645,-73.996673584,40.7528686523,1,2004.0,AM,D
100,2,2016-01-01 00:19:22,2016-01-01 00:39:40,1,2.34,-73.9669189453,40.7729034424,-73.9831085205,40.7444953918,2,1218.0,O,AO
101,2,2016-01-01 00:19:26,2016-01-01 00:38:50,1,2.47,-73.9559555054,40.7678527832,-73.9917678833,40.7706184387,2,1164.0,K,AR
102,1,2016-01-01 00:19:26,2016-01-01 00:32:38,1,2.5,-73.9679641724,40.7669410706,-73.9658737183,40.7912216187,1,792.0,AK,U
103,2,2016-01-01 00:19:29,2016-01-01 00:30:55,1,2.72,-74.0085144043,40.7117614746,-74.0039825439,40.7421760559,1,686.0,AU,Q
104,1,2016-01-01 00:19:34,2016-01-01 00:36:20,1,2.8,-73.996421814,40.7426261902,-73.9843139648,40.7754402161,1,1006.0,AP,AV
105,2,2016-01-01 00:19:42,2016-01-01 00:26:35,1,1.11,-74.0047683716,40.7455101013,-73.9868240356,40.7379417419,1,413.0,AG,R
106,1,2016-01-01 00:19:46,2016-01-01 00:28:26,1,2.0,-73.9672393799,40.772315979,-73.9741134644,40.7505683899,2,520.0,O,AD
107,1,2016-01-01 00:19:55,2016-01-01 00:28:10,1,1.1,-73.9820022583,40.7730255127,-73.9650115967,40.7715911865,1,495.0,AV,O
108,2,2016-01-01 00:20:00,2016-01-01 00:26:42,5,0.95,-73.9633712769,40.7186012268,-73.957321167,40.7119789124,2,402.0,Z,Z
109,2,2016-01-01 00:20:02,2016-01-01 00:25:42,1,1.05,-73.9803390503,40.7840385437,-73.9721832275,40.7966003418,1,340.0,I,U
110,2,2016-01-01 00:20:05,2016-01-01 00:22:58,1,0.36,-73.9828262329,40.7272911072,-73.9826812744,40.731136322,2,173.0,AT,AT
111,2,2016-01-01 00:20:18,2016-01-01 00:22:01,1,0.52,-73.9617996216,40.7708091736,-73.9541091919,40.7663002014,2,103.0,O,K
112,1,2016-01-01 00:20:27,2016-01-01 00:28:51,1,1.3,-73.9837493896,40.7257461548,-73.9850540161,40.739276886,1,504.0,AT,R
113,1,2016-01-01 00:20:33,2016-01-01 00:23:47,2,0.7,-73.9973983765,40.7365646362,-73.9886703491,40.7385520935,1,194.0,AP,R
114,2,2016-01-01 00:20:50,2016-01-01 00:29:48,2,1.24,-73.9895324707,40.7357406616,-73.9773635864,40.7507514954,2,538.0,R,AD
115,2,2016-01-01 00:20:54,2016-01-01 00:30:25,1,2.28,-73.9510345459,40.7746658325,-73.9701919556,40.7941513062,1,571.0,AM,U
116,1,2016-01-01 00:20:58,2016-01-01 00:27:00,3,0.6,-73.9878082275,40.7438316345,-73.9909362793,40.7487258911,1,362.0,AO,D
117,2,2016-01-01 00:20:59,2016-01-01 00:28:24,1,1.37,-73.9680938721,40.7522125244,-73.9820327759,40.740436554,1,445.0,N,Y
118,1,2016-01-01 00:21:00,2016-01-01 00:28:14,1,2.3,-73.9552230835,40.7734489441,-73.9836807251,40.7759284973,2,434.0,O,AV
119,2,2016-01-01 00:21:01,2016-01-01 00:26:15,2,0.55,-74.0015335083,40.7261428833,-74.0004043579,40.7324409485,2,314.0,AB,AB
120,2,2016-01-01 00:21:38,2016-01-01 00:30:22,3,1.33,-73.9970169067,40.7228126526,-73.979133606,40.7199478149,2,524.0,X,AC
121,2,2016-01-01 00:21:39,2016-01-01 00:33:35,1,6.99,-73.9654388428,40.7105636597,-73.8878479004,40.7552375793,2,716.0,Z,AJ
122,2,2016-01-01 00:21:39,2016-01-01 00:33:32,4,3.59,-73.9730377197,40.7467498779,-73.9979705811,40.7228393555,2,713.0,AD,X
123,2,2016-01-01 00:21:48,2016-01-01 00:42:18,1,4.24,-73.9733581543,40.7927284241,-73.9771118164,40.7481994629,1,1230.0,U,AD
124,1,2016-01-01 00:21:57,2016-01-01 00:26:33,1,0.7,-73.9559631348,40.7677078247,-73.9598617554,40.7586097717,2,276.0,K,N
125,1,2016-01-01 00:21:58,2016-01-01 00:44:18,1,5.1,-73.9496383667,40.7962684631,-73.9944229126,40.7434883118,1,1340.0,J,AP
126,1,2016-01-01 00:22:02,2016-01-01 00:34:20,1,2.1,-73.9870529175,40.766040802,-73.964515686,40.7729263306,1,738.0,AR,O
127,2,2016-01-01 00:22:04,2016-01-01 00:31:10,1,1.81,-73.9981384277,40.7612419128,-74.0054244995,40.7388381958,1,546.0,P,Q
128,2,2016-01-01 00:22:13,2016-01-01 00:27:48,5,1.13,-73.9745559692,40.7434234619,-73.9863357544,40.7329673767,1,335.0,Y,R
129,1,2016-01-01 00:22:14,2016-01-01 00:23:34,1,0.3,-73.9823989868,40.7750778198,-73.9807434082,40.7798919678,1,80.0,AV,AV
130,2,2016-01-01 00:22:19,2016-01-01 00:57:48,2,11.73,-73.955657959,40.7685699463,-73.9619293213,40.6485481262,1,2129.0,K,AF
131,1,2016-01-01 00:22:19,2016-01-01 00:42:04,2,3.4,-73.9796142578,40.7352752686,-73.9859695435,40.7688713074,1,1185.0,AT,AR
132,2,2016-01-01 00:22:34,2016-01-01 00:27:20,1,0.96,-73.962059021,40.767616272,-73.9512329102,40.7724952698,2,286.0,K,AM
133,1,2016-01-01 00:22:36,2016-01-01 00:37:49,1,6.2,-73.9506072998,40.7711334229,-73.9035873413,40.7747344971,1,913.0,AM,W
134,1,2016-01-01 00:22:44,2016-01-01 00:34:43,1,1.0,-73.9799346924,40.7547988892,-73.9761657715,40.7443885803,1,719.0,AD,Y
135,2,2016-01-01 00:22:44,2016-01-01 01:03:38,2,10.12,-73.994972229,40.7487602234,-73.931854248,40.6558189392,2,2454.0,D,AF
136,2,2016-01-01 00:22:49,2016-01-01 00:38:19,1,1.46,-73.982749939,40.7569084167,-73.965461731,40.7591781616,1,930.0,AA,N
137,1,2016-01-01 00:22:57,2016-01-01 00:43:28,1,9.7,-73.9869003296,40.7127609253,-73.9454116821,40.8080024719,2,1231.0,AC,J
138,2,2016-01-01 00:23:14,2016-01-01 00:27:58,3,0.67,-73.9893035889,40.7261199951,-73.983581543,40.7318496704,1,284.0,H,AT
139,1,2016-01-01 00:23:16,2016-01-01 00:33:40,2,1.3,-73.9667205811,40.7727775574,-73.9727096558,40.7569274902,2,624.0,O,N
140,2,2016-01-01 00:23:19,2016-01-01 00:30:12,1,1.3,-73.9821395874,40.7722892761,-73.9780731201,40.7886581421,1,413.0,AV,I
141,1,2016-01-01 00:23:44,2016-01-01 00:34:22,2,1.4,-73.9936294556,40.7565116882,-73.983543396,40.7666969299,1,638.0,P,AR
142,1,2016-01-01 00:24:22,2016-01-01 00:31:08,4,1.4,-73.9781188965,40.783493042,-73.9579162598,40.7746353149,2,406.0,I,O
143,2,2016-01-01 00:24:27,2016-01-01 00:30:36,2,1.67,-73.9861297607,40.7231712341,-73.9789581299,40.7406463623,1,369.0,AC,Y
144,2,2016-01-01 00:24:38,2016-01-01 00:33:37,1,1.2,-73.982131958,40.7279624939,-73.9997634888,40.7342567444,2,539.0,AT,AB
145,2,2016-01-01 00:24:50,2016-01-01 00:35:51,1,2.75,-73.998046875,40.7210502625,-73.9719161987,40.6933288574,2,661.0,X,V
146,2,2016-01-01 00:24:51,2016-01-01 00:33:57,2,1.11,-73.9886016846,40.7386627197,-73.992225647,40.7490234375,2,546.0,R,D
148,1,2016-01-01 00:25:28,2016-01-01 00:33:28,2,4.7,-74.0041656494,40.7069473267,-73.9696044922,40.7528648376,2,480.0,AU,N
149,1,2016-01-01 00:25:54,2016-01-01 00:35:24,1,1.5,-74.0006942749,40.7420883179,-73.9808044434,40.7298622131,1,570.0,Q,AT
150,2,2016-01-01 00:26:00,2016-01-01 00:41:31,5,3.08,-73.9714279175,40.7551231384,-73.9851074219,40.77891922,1,931.0,N,AV
151,1,2016-01-01 00:26:44,2016-01-01 00:33:38,3,1.3,-73.922203064,40.7094192505,-73.944442749,40.7086715698,1,414.0,E,Z
152,1,2016-01-01 00:26:52,2016-01-01 00:43:37,2,2.8,-73.9755249023,40.761264801,-73.9458312988,40.7777023315,1,1005.0,A,AM
153,1,2016-01-01 00:27:11,2016-01-01 00:36:13,2,3.2,-73.9610061646,40.7569236755,-73.952293396,40.7913284302,1,542.0,N,C
154,2,2016-01-01 00:27:30,2016-01-01 00:39:40,1,2.63,-74.0092163086,40.7387886047,-74.0061264038,40.7085418701,1,730.0,Q,AU
155,2,2016-01-01 00:27:42,2016-01-01 00:40:20,5,1.79,-73.9881591797,40.7378540039,-73.986869812,40.7225265503,1,758.0,R,AC
156,2,2016-01-01 00:27:58,2016-01-01 00:32:53,1,0.64,-73.9965515137,40.7213096619,-73.9990921021,40.7279090881,1,295.0,X,AB
157,2,2016-01-01 00:28:00,2016-01-01 00:32:02,3,0.79,-73.9762039185,40.7808952332,-73.96824646,40.7867965698,2,242.0,I,U
158,2,2016-01-01 00:28:02,2016-01-01 00:33:12,1,0.79,-73.9695510864,40.7692184448,-73.959602356,40.7628593445,2,310.0,AK,K
159,2,2016-01-01 00:28:30,2016-01-01 00:37:57,1,1.28,-73.9919204712,40.7258224487,-73.996055603,40.738571167,2,567.0,H,AP
160,2,2016-01-01 00:29:04,2016-01-01 00:42:32,1,2.65,-73.9601135254,40.6749420166,-73.9956588745,40.6628952026,1,808.0,AW,M
161,2,2016-01-01 00:29:05,2016-01-01 00:38:24,5,1.23,-73.9913787842,40.7272491455,-73.9800415039,40.7431793213,1,559.0,H,Y
162,1,2016-01-01 00:29:18,2016-01-01 00:36:00,2,1.5,-73.975402832,40.7435836792,-73.9840698242,40.7270050049,1,402.0,Y,AT
163,2,2016-01-01 00:29:34,2016-01-01 00:34:12,2,0.62,-73.9976730347,40.7257728577,-73.9866943359,40.7222557068,1,278.0,X,AC
164,1,2016-01-01 00:29:38,2016-01-01 00:46:17,1,8.8,-73.9822769165,40.7207603455,-73.9443664551,40.8190307617,1,999.0,AC,AL
165,1,2016-01-01 00:29:39,2016-01-01 00:41:47,1,2.2,-74.0017700195,40.7458457947,-73.9975891113,40.7214813232,1,728.0,AG,X
166,1,2016-01-01 00:29:41,2016-01-01 00:46:50,1,2.4,-73.9804382324,40.7855148315,-73.9981231689,40.7562637329,1,1029.0,I,P
167,1,2016-01-01 00:29:45,2016-01-01 00:46:19,1,5.2,-73.9783782959,40.7294921875,-73.937713623,40.7537155151,1,994.0,AT,AN
168,2,2016-01-01 00:29:48,2016-01-01 00:38:55,3,2.16,-73.9617004395,40.7557792664,-73.9616775513,40.7795600891,2,547.0,N,O
169,2,2016-01-01 00:29:51,2016-01-01 00:32:02,5,0.68,-73.9608230591,40.7695999146,-73.9524765015,40.7730712891,1,131.0,K,AM
170,1,2016-01-01 00:30:19,2016-01-01 00:42:41,2,2.3,-73.9941558838,40.7323036194,-73.9709777832,40.7556800842,1,742.0,H,N
171,2,2016-01-01 00:30:38,2016-01-01 01:02:20,5,4.98,-73.9911499023,40.7316322327,-73.9732818604,40.786907196,2,1902.0,H,I
172,1,2016-01-01 00:30:54,2016-01-01 00:44:32,2,6.8,-73.9859771729,40.7158355713,-73.9450836182,40.7871856689,2,818.0,AC,C
173,1,2016-01-01 00:31:11,2016-01-01 00:46:29,1,4.8,-73.9814758301,40.7208709717,-73.9867172241,40.684463501,1,918.0,AC,AS
174,1,2016-01-01 00:31:13,2016-01-01 00:38:59,4,1.9,-73.9735641479,40.7485694885,-73.9644546509,40.7606048584,1,466.0,AD,AK
175,2,2016-01-01 00:31:14,2016-01-01 00:39:59,4,1.48,-73.9889526367,40.7479782104,-74.0058364868,40.736579895,2,525.0,AO,Q
176,2,2016-01-01 00:31:16,2016-01-01 01:17:31,1,4.69,-73.9803237915,40.742477417,-73.9757614136,40.7310028076,1,2775.0,Y,AT
177,1,2016-01-01 00:31:46,2016-01-01 00:48:54,2,6.3,-73.979675293,40.7525749207,-73.9470367432,40.7077178955,1,1028.0,AD,Z
178,2,2016-01-01 00:31:53,2016-01-01 00:41:14,1,1.26,-73.982208252,40.7279510498,-73.997467041,40.7214927673,2,561.0,AT,X
179,2,2016-01-01 00:32:06,2016-01-01 00:39:49,5,2.29,-74.0100326538,40.7095718384,-73.9988174438,40.7382545471,1,463.0,AU,AP
180,1,2016-01-01 00:32:07,2016-01-01 00:50:25,1,2.8,-73.9812393188,40.7501907349,-73.9767532349,40.7518196106,2,1098.0,AO,AD
181,2,2016-01-01 00:32:18,2016-01-01 00:36:11,1,0.79,-73.9608078003,40.7756385803,-73.9669799805,40.7664985657,2,233.0,O,AK
